name,sex,age,height,weight,team,noc,sport,event,medal
Vladyslav Ivanovych Akymenko,M,23,192.0,88.0,Soviet Union,URS,Sailing,Sailing Mixed Two Person Keelboat,2nd
Larisa Aleksandrova-Popova,F,19,180.0,83.0,Soviet Union,URS,Rowing,Rowing Women's Coxed Quadruple Sculls,2nd
Vasily Ivanovich Alekseyev,M,34,185.0,160.0,Soviet Union,URS,Weightlifting,Weightlifting Men's Super-Heavyweight,1st
Vladimir Petrovich Aleynik,M,23,184.0,74.0,Soviet Union,URS,Diving,Diving Men's Platform,3rd
Lidiya Nikolayevna Alfeyeva,F,30,170.0,62.0,Soviet Union,URS,Athletics,Athletics Women's Long Jump,3rd
Soslan Petrovich Andiyev,M,24,194.0,125.0,Soviet Union,URS,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",1st
Nikolay Yefimovich Andrianov,M,23,166.0,60.0,Soviet Union,URS,Gymnastics,Gymnastics Men's Individual All-Around,1st
Nikolay Yefimovich Andrianov,M,23,166.0,60.0,Soviet Union,URS,Gymnastics,Gymnastics Men's Team All-Around,2nd
Nikolay Yefimovich Andrianov,M,23,166.0,60.0,Soviet Union,URS,Gymnastics,Gymnastics Men's Floor Exercise,1st
Nikolay Yefimovich Andrianov,M,23,166.0,60.0,Soviet Union,URS,Gymnastics,Gymnastics Men's Horse Vault,1st
Nikolay Yefimovich Andrianov,M,23,166.0,60.0,Soviet Union,URS,Gymnastics,Gymnastics Men's Parallel Bars,2nd
Nikolay Yefimovich Andrianov,M,23,166.0,60.0,Soviet Union,URS,Gymnastics,Gymnastics Men's Rings,1st
Nikolay Yefimovich Andrianov,M,23,166.0,60.0,Soviet Union,URS,Gymnastics,Gymnastics Men's Pommelled Horse,3rd
Tatyana Mikhaylovna Anisimova (Poluboyarova-),F,26,172.0,65.0,Soviet Union,URS,Athletics,Athletics Women's 100 metres Hurdles,2nd
Vera Vasilyevna Anisimova (Mikheyeva-),F,24,167.0,52.0,Soviet Union,URS,Athletics,Athletics Women's 4 x 100 metres Relay,3rd
Aleksandre Anp'ilogovi,M,22,203.0,96.0,Soviet Union,URS,Handball,Handball Men's Handball,1st
Yelena Petrovna Antonova,F,23,180.0,78.0,Soviet Union,URS,Rowing,Rowing Women's Single Sculls,3rd
Raul Arnemann,M,23,186.0,82.0,Soviet Union,URS,Rowing,Rowing Men's Coxless Fours,3rd
Vladimir Ivanovich Arzamaskov,M,25,190.0,87.0,Soviet Union,URS,Basketball,Basketball Men's Basketball,3rd
Vladimir Aleksandrovich Astapovsky,M,30,186.0,82.0,Soviet Union,URS,Football,Football Men's Football,3rd
Mykola Viktorovych Avilov,M,27,191.0,89.0,Soviet Union,URS,Athletics,Athletics Men's Decathlon,3rd
Andrey Vasilyevich Balashov,M,30,175.0,93.0,Soviet Union,URS,Sailing,Sailing Mixed One Person Dinghy,2nd
Nikolay Fyodorovich Balboshin,M,27,188.0,100.0,Soviet Union,URS,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",1st
Olga Fyodorovna Barysheva-Korostelyova,F,21,168.0,67.0,Soviet Union,URS,Basketball,Basketball Women's Basketball,1st
Aleksandr Georgiyevich Baryshnikov,M,27,198.0,130.0,Soviet Union,URS,Athletics,Athletics Men's Shot Put,3rd
Dmitry Nikolayevich Bekhterev,M,26,194.0,93.0,Soviet Union,URS,Rowing,Rowing Men's Coxed Pairs,2nd
Liubov Ivanivna Berezhna-Odynokova,F,20,167.0,61.0,Soviet Union,URS,Handball,Handball Women's Handball,1st
Larisa Abramovna Bergen (Goncharova-),F,26,171.0,67.0,Soviet Union,URS,Volleyball,Volleyball Women's Volleyball,2nd
Andrey Nikolayevich Bogdanov,M,18,,,Soviet Union,URS,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2nd
Anatoliy Pavlovych Bondarchuk,M,36,183.0,113.0,Soviet Union,URS,Athletics,Athletics Men's Hammer Throw,3rd
Valeriy Pylypovych Borzov,M,26,183.0,80.0,Soviet Union,URS,Athletics,Athletics Men's 100 metres,3rd
Mikhail Ivanovich Burtsev,M,20,178.0,74.0,Soviet Union,URS,Fencing,"Fencing Men's Sabre, Team",1st
Vytautas Butkus,M,26,190.0,86.0,Soviet Union,URS,Rowing,Rowing Men's Quadruple Sculls,2nd
Anatoly Mikhaylovich Bykov,M,22,170.0,74.0,Soviet Union,URS,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1st
Valery Andreyevich Chaplygin,M,24,186.0,80.0,Soviet Union,URS,Cycling,Cycling Men's 100 kilometres Team Time Trial,1st
Vladimir Vasilyevich Cheboksarov,M,24,173.0,82.0,Soviet Union,URS,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",2nd
Vladimir Dmitriyevich Chernyshov,M,25,193.0,93.0,Soviet Union,URS,Volleyball,Volleyball Men's Volleyball,2nd
Nadezhda Vladimirovna Chizhova,F,30,174.0,90.0,Soviet Union,URS,Athletics,Athletics Women's Shot Put,2nd
Shota Chochishvili,M,26,190.0,110.0,Soviet Union,URS,Judo,Judo Men's Open Class,3rd
Serhiy Oleksiyovych Chukhrai,M,21,184.0,84.0,Soviet Union,URS,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",1st
Nelson Amoiakovych Davydian,M,26,160.0,62.0,Soviet Union,URS,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",2nd
Aleksandr Nikolayevich Dityatin,M,18,178.0,70.0,Soviet Union,URS,Gymnastics,Gymnastics Men's Rings,2nd
Roman Mikhaylovich Dmitriyev,M,27,154.0,48.0,Soviet Union,URS,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",2nd
Valeriy Vasylovych Dvoinikov,M,26,170.0,77.0,Soviet Union,URS,Judo,Judo Men's Middleweight,2nd
Mariya Yevgenyevna Filatova (-Kurbatova),F,14,136.0,30.0,Soviet Union,URS,Gymnastics,Gymnastics Women's Team All-Around,1st
Yevgeny Mikhaylovich Gavrilenko,M,25,187.0,76.0,Soviet Union,URS,Athletics,Athletics Men's 400 metres Hurdles,3rd
Aleksandr Vasilyevich Gazov,M,30,182.0,84.0,Soviet Union,URS,Shooting,"Shooting Mixed Running Target, 50 metres",1st
Nailya Fayzrakhmanovna Gilyazova,F,23,161.0,58.0,Soviet Union,URS,Fencing,"Fencing Women's Foil, Team",1st
Nina Yuryevna Gopova-Trofimova,F,23,172.0,71.0,Soviet Union,URS,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",1st
Olha Mykolavna Huzenko (-Bezik),F,20,180.0,86.0,Soviet Union,URS,Rowing,Rowing Women's Coxed Eights,2nd
Aleksandr Nikolayevich Ivanov,M,25,158.0,52.0,Soviet Union,URS,Wrestling,"Wrestling Men's Flyweight, Freestyle",2nd
Nikolay Petrovich Ivanov,M,26,190.0,92.0,Soviet Union,URS,Rowing,Rowing Men's Coxed Fours,1st
Arvydas Juozaitis,M,20,,,Soviet Union,URS,Swimming,Swimming Men's 100 metres Breaststroke,3rd
Eleonora Kaminskait (Ruokien-),F,25,178.0,70.0,Soviet Union,URS,Rowing,Rowing Women's Double Sculls,3rd
Tatyana Vasilyevna Kazankina (-Kovalenko),F,24,162.0,47.0,Soviet Union,URS,Athletics,Athletics Women's 800 metres,1st
Tatyana Vasilyevna Kazankina (-Kovalenko),F,24,162.0,47.0,Soviet Union,URS,Athletics,"Athletics Women's 1,500 metres",1st
Aleksandr Petrovich Kedyarov,M,28,187.0,85.0,Soviet Union,URS,Shooting,"Shooting Mixed Running Target, 50 metres",2nd
Ramaz Kharshiladze,M,25,182.0,95.0,Soviet Union,URS,Judo,Judo Men's Half-Heavyweight,2nd
"Nellya Vladimirovna ""Nelli"" Kim (-Achasov)",F,18,152.0,47.0,Soviet Union,URS,Gymnastics,Gymnastics Women's Individual All-Around,2nd
"Nellya Vladimirovna ""Nelli"" Kim (-Achasov)",F,18,152.0,47.0,Soviet Union,URS,Gymnastics,Gymnastics Women's Floor Exercise,1st
"Nellya Vladimirovna ""Nelli"" Kim (-Achasov)",F,18,152.0,47.0,Soviet Union,URS,Gymnastics,Gymnastics Women's Horse Vault,1st
Oleksandr Leonidovych Kolchynskiy,M,21,193.0,115.0,Soviet Union,URS,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",1st
Nikolay Alekseyevich Kolesnikov,M,24,157.0,62.0,Soviet Union,URS,Weightlifting,Weightlifting Men's Featherweight,1st
Vitaly Viktorovich Konstantinov,M,27,164.0,52.0,Soviet Union,URS,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",1st
"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,21,152.0,39.0,Soviet Union,URS,Gymnastics,Gymnastics Women's Balance Beam,2nd
Petro Kindratovych Korol,M,35,160.0,70.0,Soviet Union,URS,Weightlifting,Weightlifting Men's Lightweight,1st
Tatyana Vasilyevna Korshunova,F,20,162.0,60.0,Soviet Union,URS,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",2nd
Aleksandr Mikhaylovich Kosenkov,M,19,176.0,72.0,Soviet Union,URS,Diving,Diving Men's Springboard,3rd
Marina Vladimirovna Koshevaya,F,16,167.0,58.0,Soviet Union,URS,Swimming,Swimming Women's 100 metres Breaststroke,3rd
Marina Vladimirovna Koshevaya,F,16,167.0,58.0,Soviet Union,URS,Swimming,Swimming Women's 200 metres Breaststroke,1st
Valentyna Ivanivna Kovpan,F,26,168.0,60.0,Soviet Union,URS,Archery,Archery Women's Individual,2nd
Lyudmila Vasilyevna Krokhina,F,22,172.0,85.0,Soviet Union,URS,Rowing,Rowing Women's Coxed Fours,3rd
Viktor Alekseyevich Krovopuskov,M,27,179.0,76.0,Soviet Union,URS,Fencing,"Fencing Men's Sabre, Individual",1st
"Nataliya Vasilyevna Lebedeva (-Suprun, -Monastyrskaya)",F,26,171.0,62.0,Soviet Union,URS,Athletics,Athletics Women's 100 metres Hurdles,3rd
Pavel Serafimovich Lednyov,M,33,184.0,80.0,Soviet Union,URS,Modern Pentathlon,Modern Pentathlon Men's Individual,2nd
Gennady Georgiyevich Lushchikov,M,27,182.0,78.0,Soviet Union,URS,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",3rd
Vladimir Nikolayevich Marchenko,M,23,169.0,63.0,Soviet Union,URS,Gymnastics,Gymnastics Men's Floor Exercise,2nd
Vardan Militosyan,M,26,170.0,76.0,Soviet Union,URS,Weightlifting,Weightlifting Men's Middleweight,2nd
Yevgeny Vasilyevich Mironov,M,26,193.0,130.0,Soviet Union,URS,Athletics,Athletics Men's Shot Put,2nd
Farkhat Akhatovich Mustafin,M,25,160.0,57.0,Soviet Union,URS,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",3rd
Serhiy Viktorovych Nahorniy,M,19,188.0,89.0,Soviet Union,URS,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",2nd
Serhiy Viktorovych Nahorniy,M,19,188.0,89.0,Soviet Union,URS,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",1st
Suren Rubenovich Nalbandyan,M,20,163.0,68.0,Soviet Union,URS,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1st
Vladimir Aliverovich Nazlymov,M,30,176.0,73.0,Soviet Union,URS,Fencing,"Fencing Men's Sabre, Individual",2nd
Vladimir Mikhaylovich Nevzorov,M,23,174.0,73.0,Soviet Union,URS,Judo,Judo Men's Half-Middleweight,1st
Serhiy Petrovych Novikov,M,26,192.0,120.0,Soviet Union,URS,Judo,Judo Men's Heavyweight,1st
Yelena Dmitriyevna Novikova-Belova,F,28,176.0,69.0,Soviet Union,URS,Fencing,"Fencing Women's Foil, Individual",3rd
Viktor Vladimirovich Novozhilov,M,26,181.0,82.0,Soviet Union,URS,Wrestling,"Wrestling Men's Middleweight, Freestyle",2nd
Vladimir Yuryevich Osokin,M,22,181.0,73.0,Soviet Union,URS,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",2nd
Serhiy Volodymyrovych Petrenko,M,19,183.0,80.0,Soviet Union,URS,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",1st
Serhiy Volodymyrovych Petrenko,M,19,183.0,80.0,Soviet Union,URS,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",1st
Pavel Pavlovich Pinigin,M,23,170.0,68.0,Soviet Union,URS,Wrestling,"Wrestling Men's Lightweight, Freestyle",1st
Volodymyr Serhiyovych Raskatov,M,18,,,Soviet Union,URS,Swimming,Swimming Men's 400 metres Freestyle,3rd
Valery Grigoryevich Rezantsev,M,29,176.0,90.0,Soviet Union,URS,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",1st
David Adamovich Rigert,M,29,174.0,92.0,Soviet Union,URS,Weightlifting,Weightlifting Men's Middle-Heavyweight,1st
Rufat Asadovich Riskiyev,M,26,183.0,75.0,Soviet Union,URS,Boxing,Boxing Men's Middleweight,2nd
Aleksandr Nikolayevich Rogov,M,20,190.0,90.0,Soviet Union,URS,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",1st
Aleksandr Anatolyevich Romankov,M,22,178.0,72.0,Soviet Union,URS,Fencing,"Fencing Men's Foil, Individual",2nd
Lyubov Petrovna Rusanova,F,22,165.0,65.0,Soviet Union,URS,Swimming,Swimming Women's 100 metres Breaststroke,2nd
Lyubov Petrovna Rusanova,F,22,165.0,65.0,Soviet Union,URS,Swimming,Swimming Women's 200 metres Breaststroke,3rd
Zebinisso Sanginovna Rustamova,F,21,156.0,52.0,Soviet Union,URS,Archery,Archery Women's Individual,3rd
Viktor Grigoryevich Rybakov,M,20,167.0,54.0,Soviet Union,URS,Boxing,Boxing Men's Bantamweight,3rd
Viktor Saneyev,M,30,188.0,78.0,Soviet Union,URS,Athletics,Athletics Men's Triple Jump,1st
Viktor Hryhorovych Savchenko,M,23,172.0,71.0,Soviet Union,URS,Boxing,Boxing Men's Light-Middleweight,3rd
Valery Petrovich Shary,M,29,174.0,84.0,Soviet Union,URS,Weightlifting,Weightlifting Men's Light-Heavyweight,1st
Aleksey Vasilyevich Shumakov,M,27,152.0,48.0,Soviet Union,URS,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",1st
Viktor Aleksandrovich Sidyak,M,32,176.0,76.0,Soviet Union,URS,Fencing,"Fencing Men's Sabre, Individual",3rd
Yuriy Heorhiyovych Siedykh,M,21,185.0,106.0,Soviet Union,URS,Athletics,Athletics Men's Hammer Throw,1st
Andrey Vladislavovich Smirnov,M,19,172.0,62.0,Soviet Union,URS,Swimming,Swimming Men's 400 metres Individual Medley,3rd
Vasily Anatolyevich Solomin,M,23,171.0,60.0,Soviet Union,URS,Boxing,Boxing Men's Lightweight,3rd
Aleksey Sergeyevich Spiridonov,M,24,192.0,117.0,Soviet Union,URS,Athletics,Athletics Men's Hammer Throw,2nd
Levan Tediashvili,M,28,186.0,90.0,Soviet Union,URS,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",1st
Davit Torosyan,M,25,158.0,51.0,Soviet Union,URS,Boxing,Boxing Men's Flyweight,3rd
Lyudmila Ivanovna Turishcheva (-Borzova),F,23,160.0,52.0,Soviet Union,URS,Gymnastics,Gymnastics Women's Individual All-Around,3rd
Lyudmila Ivanovna Turishcheva (-Borzova),F,23,160.0,52.0,Soviet Union,URS,Gymnastics,Gymnastics Women's Floor Exercise,2nd
Lyudmila Ivanovna Turishcheva (-Borzova),F,23,160.0,52.0,Soviet Union,URS,Gymnastics,Gymnastics Women's Horse Vault,2nd
Yelena Sergeyevna Vaytsekhovskaya,F,18,165.0,55.0,Soviet Union,URS,Diving,Diving Women's Platform,1st
Aleksandr Nikiforovich Voronin,M,25,144.0,55.0,Soviet Union,URS,Weightlifting,Weightlifting Men's Flyweight,1st
Ivan Sergeyevich Yarygin,M,27,190.0,100.0,Soviet Union,URS,Wrestling,"Wrestling Men's Heavyweight, Freestyle",1st
Vladimir Sergeyevich Yumin,M,24,160.0,57.0,Soviet Union,URS,Wrestling,"Wrestling Men's Bantamweight, Freestyle",1st
Maryna Volodymyrivna Yurchenia,F,16,165.0,58.0,Soviet Union,URS,Swimming,Swimming Women's 200 metres Breaststroke,2nd
Vasyl Petrovych Yurchenko,M,26,195.0,96.0,Soviet Union,URS,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",2nd
Yury Konstantinovich Zaytsev,M,25,177.0,110.0,Soviet Union,URS,Weightlifting,Weightlifting Men's Heavyweight,1st
va Angyal,F,21,163.0,63.0,Hungary,HUN,Handball,Handball Women's Handball,3rd
Pter Baczak,M,24,171.0,84.0,Hungary,HUN,Weightlifting,Weightlifting Men's Light-Heavyweight,3rd
Zoltn Bak,M,24,190.0,80.0,Hungary,HUN,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",3rd
Jzsef Balla,M,20,190.0,120.0,Hungary,HUN,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",2nd
Tams Buday,M,24,190.0,85.0,Hungary,HUN,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",3rd
Tams Buday,M,24,190.0,85.0,Hungary,HUN,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",3rd
Gbor Csap,M,25,198.0,103.0,Hungary,HUN,Water Polo,Water Polo Men's Water Polo,1st
Gza Csap,M,25,183.0,82.0,Hungary,HUN,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",2nd
Mrta Egervri (-Magyar),F,19,160.0,49.0,Hungary,HUN,Gymnastics,Gymnastics Women's Uneven Bars,3rd
Ildik Farkasinszky-Bbis (Bbis-),F,30,173.0,63.0,Hungary,HUN,Fencing,"Fencing Women's Foil, Team",3rd
Tams Kancsal,M,24,188.0,74.0,Hungary,HUN,Modern Pentathlon,Modern Pentathlon Men's Team,3rd
Gyrgy Kszegi,M,25,158.0,55.0,Hungary,HUN,Weightlifting,Weightlifting Men's Flyweight,2nd
Gyz Kulcsr,M,35,188.0,79.0,Hungary,HUN,Fencing,"Fencing Men's epee, Individual",3rd
Zoltn Magyar,M,22,165.0,60.0,Hungary,HUN,Gymnastics,Gymnastics Men's Pommelled Horse,1st
Mikls Nmeth,M,29,193.0,95.0,Hungary,HUN,Athletics,Athletics Men's Javelin Throw,1st
Anna Pfeffer,F,30,168.0,67.0,Hungary,HUN,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",2nd
Klra Rajnai,F,22,173.0,64.0,Hungary,HUN,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",3rd
Lszl Rczi,M,29,168.0,62.0,Hungary,HUN,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",3rd
Ildik Schwarczenberger-Tordasi (-Kovcs),F,24,161.0,60.0,Hungary,HUN,Fencing,"Fencing Women's Foil, Individual",1st
Zoltn Sztanity,M,22,183.0,82.0,Hungary,HUN,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",2nd
Jzsef Tuncsik,M,26,167.0,63.0,Hungary,HUN,Judo,Judo Men's Lightweight,3rd
Tams Wichmann,M,28,187.0,86.0,Hungary,HUN,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",3rd
Mudassar Asghar Saeed,M,28,176.0,74.0,Pakistan,PAK,Hockey,Hockey Men's Hockey,3rd
Gail Amundrud (-Beattie),F,19,183.0,70.0,Canada,CAN,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,3rd
"Deborah ""Debbie"" Clarke (-Zemba)",F,15,166.0,56.0,Canada,CAN,Swimming,Swimming Women's 4 x 100 metres Medley Relay,3rd
"Clayton T. ""Clay"" Evans",M,22,183.0,71.0,Canada,CAN,Swimming,Swimming Men's 4 x 100 metres Medley Relay,2nd
Nancy Ellen Garapick,F,14,168.0,54.0,Canada,CAN,Swimming,Swimming Women's 100 metres Backstroke,3rd
Nancy Ellen Garapick,F,14,168.0,54.0,Canada,CAN,Swimming,Swimming Women's 200 metres Backstroke,3rd
Cheryl Ann Gibson (-Brokop),F,16,173.0,59.0,Canada,CAN,Swimming,Swimming Women's 400 metres Individual Medley,2nd
"Gregory Andrew ""Greg"" Joy",M,20,194.0,71.0,Canada,CAN,Athletics,Athletics Men's High Jump,2nd
"Rebecca Gwendolyn ""Becky"" Smith (-Wiber)",F,17,161.0,56.0,Canada,CAN,Swimming,Swimming Women's 400 metres Individual Medley,3rd
Shannon Smith,F,14,174.0,63.0,Canada,CAN,Swimming,Swimming Women's 400 metres Freestyle,3rd
Michel Vaillancourt,M,21,178.0,67.0,Canada,CAN,Equestrianism,"Equestrianism Mixed Jumping, Individual",2nd
John Joseph Wood,M,26,180.0,80.0,Canada,CAN,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",2nd
David Bell,M,21,170.0,65.0,Australia,AUS,Hockey,Hockey Men's Hockey,2nd
Mervyn Bennett,M,31,179.0,70.0,Australia,AUS,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",3rd
John Edwin Bertrand,M,29,188.0,86.0,Australia,AUS,Sailing,Sailing Mixed One Person Dinghy,3rd
Ian Warwick Brown,M,22,184.0,70.0,Australia,AUS,Sailing,Sailing Mixed Two Person Dinghy,3rd
"Stephen Roy ""Steve"" Holland",M,18,,,Australia,AUS,Swimming,"Swimming Men's 1,500 metres Freestyle",3rd
Edgar Henri Cuepper,M,27,183.0,72.0,Belgium,BEL,Equestrianism,"Equestrianism Mixed Jumping, Team",3rd
Karel Lismont,M,27,168.0,62.0,Belgium,BEL,Athletics,Athletics Men's Marathon,3rd
Franois Mathy,M,31,180.0,77.0,Belgium,BEL,Equestrianism,"Equestrianism Mixed Jumping, Individual",3rd
Michal Maria Edmondus Michel Vaarten,M,19,180.0,82.0,Belgium,BEL,Cycling,"Cycling Men's 1,000 metres Time Trial",2nd
Ivo Van Damme,M,22,191.0,76.0,Belgium,BEL,Athletics,Athletics Men's 800 metres,2nd
Ivo Van Damme,M,22,191.0,76.0,Belgium,BEL,Athletics,"Athletics Men's 1,500 metres",2nd
Kenkichi Ando,M,26,154.0,59.0,Japan,JPN,Weightlifting,Weightlifting Men's Bantamweight,3rd
Masao Arai,M,27,164.0,64.0,Japan,JPN,Wrestling,"Wrestling Men's Bantamweight, Freestyle",3rd
Yuko Arakida,F,22,173.0,67.0,Japan,JPN,Volleyball,Volleyball Women's Volleyball,1st
Jiichiro Date,M,24,172.0,78.0,Japan,JPN,Wrestling,"Wrestling Men's Welterweight, Freestyle",1st
Sumio Endo,M,25,170.0,120.0,Japan,JPN,Judo,Judo Men's Heavyweight,3rd
Shun Fujimoto,M,26,166.0,61.0,Japan,JPN,Gymnastics,Gymnastics Men's Team All-Around,1st
Kazumasa Hirai,M,26,156.0,60.0,Japan,JPN,Weightlifting,Weightlifting Men's Featherweight,3rd
Koichiro Hirayama,M,29,156.0,58.0,Japan,JPN,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",3rd
Hiroshi Kajiyama,M,23,159.0,52.0,Japan,JPN,Gymnastics,Gymnastics Men's Horse Vault,3rd
Sawao Kato,M,29,163.0,59.0,Japan,JPN,Gymnastics,Gymnastics Men's Individual All-Around,2nd
Sawao Kato,M,29,163.0,59.0,Japan,JPN,Gymnastics,Gymnastics Men's Parallel Bars,1st
Eizo Kenmotsu,M,28,161.0,57.0,Japan,JPN,Gymnastics,Gymnastics Men's Horizontal Bar,2nd
Eizo Kenmotsu,M,28,161.0,57.0,Japan,JPN,Gymnastics,Gymnastics Men's Pommelled Horse,2nd
Akira Kudo,M,22,156.0,52.0,Japan,JPN,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",3rd
Koji Kuramoto,M,24,174.0,70.0,Japan,JPN,Judo,Judo Men's Half-Middleweight,2nd
Hiroshi Michinaga,M,19,175.0,68.0,Japan,JPN,Archery,Archery Men's Individual,2nd
Kazuhiro Ninomiya,M,29,190.0,93.0,Japan,JPN,Judo,Judo Men's Half-Heavyweight,1st
Isamu Sonoda,M,29,177.0,80.0,Japan,JPN,Judo,Judo Men's Middleweight,1st
Yasaburo Sugawara,M,23,167.0,71.0,Japan,JPN,Wrestling,"Wrestling Men's Lightweight, Freestyle",3rd
Yuji Takada,M,22,162.0,52.0,Japan,JPN,Wrestling,"Wrestling Men's Flyweight, Freestyle",1st
Mitsuo Tsukahara,M,28,167.0,66.0,Japan,JPN,Gymnastics,Gymnastics Men's Individual All-Around,3rd
Mitsuo Tsukahara,M,28,167.0,66.0,Japan,JPN,Gymnastics,Gymnastics Men's Horse Vault,2nd
Mitsuo Tsukahara,M,28,167.0,66.0,Japan,JPN,Gymnastics,Gymnastics Men's Parallel Bars,3rd
Mitsuo Tsukahara,M,28,167.0,66.0,Japan,JPN,Gymnastics,Gymnastics Men's Horizontal Bar,1st
Haruki Uemura,M,25,174.0,103.0,Japan,JPN,Judo,Judo Men's Open Class,1st
Jean-Blaise Evquoz,M,22,180.0,77.0,Switzerland,SUI,Fencing,"Fencing Men's epee, Team",3rd
Ulrich Lehmann,M,32,184.0,75.0,Switzerland,SUI,Equestrianism,"Equestrianism Mixed Dressage, Team",2nd
Jrg Rthlisberger,M,21,183.0,88.0,Switzerland,SUI,Judo,Judo Men's Half-Heavyweight,3rd
Christine Stckelberger,F,29,162.0,48.0,Switzerland,SUI,Equestrianism,"Equestrianism Mixed Dressage, Individual",1st
Reinaldo Conrad,M,34,179.0,78.0,Brazil,BRA,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,3rd
Joo Carlos de Oliveira,M,22,186.0,76.0,Brazil,BRA,Athletics,Athletics Men's Triple Jump,3rd
