name,sex,age,height,weight,team,noc,sport,event,medal
Otto Ammermann,M,43,183.0,71.0,West Germany,FRG,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",2nd
Thomas Bach,M,22,171.0,65.0,West Germany,FRG,Fencing,"Fencing Men's Foil, Team",1st
Marion Becker (Steiner-),F,26,167.0,63.0,West Germany,FRG,Athletics,Athletics Women's Javelin Throw,2nd
Reinhold Behr,M,27,186.0,82.0,West Germany,FRG,Fencing,"Fencing Men's epee, Team",2nd
Harro Bode,M,25,180.0,77.0,West Germany,FRG,Sailing,Sailing Mixed Two Person Dinghy,1st
Harry Boldt,M,46,184.0,72.0,West Germany,FRG,Equestrianism,"Equestrianism Mixed Dressage, Individual",2nd
Harry Boldt,M,46,184.0,72.0,West Germany,FRG,Equestrianism,"Equestrianism Mixed Dressage, Team",1st
Gregor Braun,M,20,186.0,81.0,West Germany,FRG,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",1st
Gregor Braun,M,20,186.0,81.0,West Germany,FRG,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",1st
Dirk Braunleder,M,19,,,West Germany,FRG,Swimming,Swimming Men's 4 x 100 metres Medley Relay,3rd
Eckart Diesch,M,22,187.0,76.0,West Germany,FRG,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,1st
Edith Eckbauer (Baumann-),F,26,183.0,72.0,West Germany,FRG,Rowing,Rowing Women's Coxless Pairs,3rd
Hans-Johann Frber,M,29,192.0,102.0,West Germany,FRG,Rowing,Rowing Men's Coxed Fours,3rd
Eberhard Gienger,M,24,176.0,68.0,West Germany,FRG,Gymnastics,Gymnastics Men's Horizontal Bar,3rd
Hans-Jrgen Hehn,M,31,178.0,75.0,West Germany,FRG,Fencing,"Fencing Men's epee, Individual",2nd
Karl-Heinz Helbing,M,19,170.0,74.0,West Germany,FRG,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",3rd
"Ingeborg ""Inge"" Helten",F,18,171.0,58.0,West Germany,FRG,Athletics,Athletics Women's 100 metres,3rd
"Ingeborg ""Inge"" Helten",F,18,171.0,58.0,West Germany,FRG,Athletics,Athletics Women's 4 x 100 metres Relay,2nd
"Bernhard Erich ""Bernd"" Herrmann",M,24,191.0,80.0,West Germany,FRG,Athletics,Athletics Men's 4 x 400 metres Relay,3rd
Klaus-Peter Hildenbrand,M,23,181.0,70.0,West Germany,FRG,Athletics,"Athletics Men's 5,000 metres",3rd
Reiner Klimke,M,40,184.0,66.0,West Germany,FRG,Equestrianism,"Equestrianism Mixed Dressage, Individual",3rd
Peter-Michael Kolbe,M,22,194.0,84.0,West Germany,FRG,Rowing,Rowing Men's Single Sculls,2nd
Guido Kratschmer,M,23,186.0,94.0,West Germany,FRG,Athletics,Athletics Men's Decathlon,2nd
Ulrich Lind,M,33,172.0,70.0,West Germany,FRG,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",2nd
Gnther Neureuther,M,20,186.0,95.0,West Germany,FRG,Judo,Judo Men's Heavyweight,2nd
Peter Nocke,M,20,,,West Germany,FRG,Swimming,Swimming Men's 100 metres Freestyle,3rd
Alexander Pusch,M,21,186.0,77.0,West Germany,FRG,Fencing,"Fencing Men's epee, Individual",1st
Annegret Richter (Irrgang-),F,25,167.0,53.0,West Germany,FRG,Athletics,Athletics Women's 100 metres,1st
Annegret Richter (Irrgang-),F,25,167.0,53.0,West Germany,FRG,Athletics,Athletics Women's 200 metres,2nd
Jrg Schmall,M,33,175.0,66.0,West Germany,FRG,Sailing,Sailing Mixed Multihull,3rd
Alwin Schockemhle,M,39,170.0,72.0,West Germany,FRG,Equestrianism,"Equestrianism Mixed Jumping, Individual",1st
Alwin Schockemhle,M,39,170.0,72.0,West Germany,FRG,Equestrianism,"Equestrianism Mixed Jumping, Team",2nd
Karl Schultz,M,38,180.0,75.0,West Germany,FRG,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",3rd
Adolf Seger,M,31,172.0,75.0,West Germany,FRG,Wrestling,"Wrestling Men's Middleweight, Freestyle",3rd
Werner Seibold,M,28,174.0,78.0,West Germany,FRG,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",3rd
Reinhard Skricek,M,28,176.0,67.0,West Germany,FRG,Boxing,Boxing Men's Welterweight,3rd
Karlheinz Smieszek,M,27,174.0,67.0,West Germany,FRG,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",1st
Thomas Strau,M,22,189.0,89.0,West Germany,FRG,Rowing,Rowing Men's Coxless Pairs,3rd
Paul-Heinz Wellmann,M,24,182.0,70.0,West Germany,FRG,Athletics,"Athletics Men's 1,500 metres",3rd
Brigitte Ahrenholz,F,23,178.0,85.0,East Germany,GDR,Rowing,Rowing Women's Coxed Eights,1st
Hannelore Anke (-Hofmann),F,18,160.0,52.0,East Germany,GDR,Swimming,Swimming Women's 100 metres Breaststroke,1st
Hannelore Anke (-Hofmann),F,18,160.0,52.0,East Germany,GDR,Swimming,Swimming Women's 4 x 100 metres Medley Relay,1st
Jochen Bachfeld,M,23,172.0,54.0,East Germany,GDR,Boxing,Boxing Men's Welterweight,1st
Gabriele Badorek (Soltau-),F,23,180.0,75.0,East Germany,GDR,Handball,Handball Women's Handball,2nd
Bernd Baumgart,M,21,190.0,84.0,East Germany,GDR,Rowing,Rowing Men's Coxed Eights,1st
Frank Baumgartl,M,21,176.0,61.0,East Germany,GDR,Athletics,"Athletics Men's 3,000 metres Steeplechase",3rd
Dieter Below,M,34,183.0,82.0,East Germany,GDR,Sailing,Sailing Mixed Three Person Keelboat,3rd
Jrgen Bertow,M,26,184.0,79.0,East Germany,GDR,Rowing,Rowing Men's Double Sculls,3rd
Udo Beyer,M,20,195.0,135.0,East Germany,GDR,Athletics,Athletics Men's Shot Put,1st
Frank-Peter Bischof,M,21,183.0,81.0,East Germany,GDR,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",3rd
Carla Bodendorf (Rietig-),F,22,164.0,58.0,East Germany,GDR,Athletics,Athletics Women's 4 x 100 metres Relay,1st
Christine Bodner-Laser,F,25,179.0,68.0,East Germany,GDR,Athletics,Athletics Women's Pentathlon,2nd
Petra Boesler (-Wach),F,20,174.0,69.0,East Germany,GDR,Rowing,Rowing Women's Double Sculls,2nd
Gerd Bonk,M,24,187.0,146.5,East Germany,GDR,Weightlifting,Weightlifting Men's Super-Heavyweight,2nd
Anke Borchmann (Grnberg-),F,22,176.0,65.0,East Germany,GDR,Rowing,Rowing Women's Coxed Quadruple Sculls,1st
Bernd Bransch,M,31,180.0,76.0,East Germany,GDR,Football,Football Men's Football,1st
Christina Brehmer-Lathan,F,18,169.0,57.0,East Germany,GDR,Athletics,Athletics Women's 400 metres,2nd
Christina Brehmer-Lathan,F,18,169.0,57.0,East Germany,GDR,Athletics,Athletics Women's 4 x 400 metres Relay,1st
Siegfried Brietzke,M,24,192.0,90.0,East Germany,GDR,Rowing,Rowing Men's Coxless Fours,1st
Hans-Dieter Brchert,M,23,166.0,57.0,East Germany,GDR,Wrestling,"Wrestling Men's Bantamweight, Freestyle",2nd
Roland Brckner,M,20,172.0,65.0,East Germany,GDR,Gymnastics,Gymnastics Men's Team All-Around,3rd
Karl-Heinz Buert,M,21,194.0,84.0,East Germany,GDR,Rowing,Rowing Men's Quadruple Sculls,1st
Hannes Waldemar Cierpinski,M,25,170.0,59.0,East Germany,GDR,Athletics,Athletics Men's Marathon,1st
Sabine Dhne,F,26,177.0,73.0,East Germany,GDR,Rowing,Rowing Women's Coxless Pairs,2nd
Ullrich Diener,M,21,189.0,83.0,East Germany,GDR,Rowing,Rowing Men's Coxed Fours,2nd
Carola Dombeck,F,16,159.0,44.0,East Germany,GDR,Gymnastics,Gymnastics Women's Team All-Around,3rd
Carola Dombeck,F,16,159.0,44.0,East Germany,GDR,Gymnastics,Gymnastics Women's Horse Vault,2nd
Joachim Dreifke,M,23,192.0,95.0,East Germany,GDR,Rowing,Rowing Men's Single Sculls,3rd
Brbel Eckert-Wckel,F,21,174.0,62.0,East Germany,GDR,Athletics,Athletics Women's 200 metres,1st
"Kornelia Ender (-Matthes, -Grummt)",F,17,172.0,59.0,East Germany,GDR,Swimming,Swimming Women's 100 metres Freestyle,1st
"Kornelia Ender (-Matthes, -Grummt)",F,17,172.0,59.0,East Germany,GDR,Swimming,Swimming Women's 200 metres Freestyle,1st
"Kornelia Ender (-Matthes, -Grummt)",F,17,172.0,59.0,East Germany,GDR,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2nd
"Kornelia Ender (-Matthes, -Grummt)",F,17,172.0,59.0,East Germany,GDR,Swimming,Swimming Women's 100 metres Butterfly,1st
Peter Frenkel,M,37,182.0,75.0,East Germany,GDR,Athletics,Athletics Men's 20 kilometres Walk,3rd
"Ruth Fuchs (Gamm-, -Hellmann)",F,29,169.0,71.0,East Germany,GDR,Athletics,Athletics Women's Javelin Throw,1st
Hans-Jrgen Geschke,M,33,168.0,70.0,East Germany,GDR,Cycling,Cycling Men's Sprint,3rd
Klaus-Jrgen Grnke,M,25,172.0,73.0,East Germany,GDR,Cycling,"Cycling Men's 1,000 metres Time Trial",1st
Rdiger Helm,M,19,188.0,87.0,East Germany,GDR,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",3rd
Rdiger Helm,M,19,188.0,87.0,East Germany,GDR,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",1st
Sabine He (-Schubert),F,17,150.0,43.0,East Germany,GDR,Rowing,Rowing Women's Coxed Fours,1st
Gabriele Hinzmann (Trepscheck-),F,29,178.0,80.0,East Germany,GDR,Athletics,Athletics Women's Discus Throw,3rd
Gunhild Hoffmeister,F,32,172.0,56.0,East Germany,GDR,Athletics,"Athletics Women's 1,500 metres",2nd
Thomas Huschke,M,28,181.0,75.0,East Germany,GDR,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",3rd
Harald Jhrling,M,22,198.0,94.0,East Germany,GDR,Rowing,Rowing Men's Coxed Pairs,1st
Norbert Klaar,M,21,184.0,83.0,East Germany,GDR,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",1st
Ulrike Klapezynski-Bruns,F,22,170.0,58.0,East Germany,GDR,Athletics,"Athletics Women's 1,500 metres",3rd
Christa Khler (-Kinast),F,24,162.0,56.0,East Germany,GDR,Diving,Diving Women's Springboard,2nd
Manfred Kokot,M,28,176.0,80.0,East Germany,GDR,Athletics,Athletics Men's 4 x 100 metres Relay,2nd
"Barbara ""Brbel"" Kster (-Madaus)",F,19,173.0,70.0,East Germany,GDR,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",3rd
Rosemarie Kother-Gabriel,F,20,160.0,50.0,East Germany,GDR,Swimming,Swimming Women's 200 metres Butterfly,3rd
Bernd Landvoigt,M,25,188.0,88.0,East Germany,GDR,Rowing,Rowing Men's Coxless Pairs,1st
Helmut Losch,M,28,179.0,108.5,East Germany,GDR,Weightlifting,Weightlifting Men's Super-Heavyweight,3rd
Joachim Mattern,M,28,178.0,72.0,East Germany,GDR,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",1st
Joachim Mattern,M,28,178.0,72.0,East Germany,GDR,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",2nd
Roland Matthes,M,25,189.0,74.0,East Germany,GDR,Swimming,Swimming Men's 100 metres Backstroke,3rd
Michael Nikolay,M,19,175.0,65.0,East Germany,GDR,Gymnastics,Gymnastics Men's Pommelled Horse,3rd
Richard Nowakowski,M,20,174.0,57.0,East Germany,GDR,Boxing,Boxing Men's Featherweight,2nd
Andrea Pollack (-Pinske),F,15,166.0,61.0,East Germany,GDR,Swimming,Swimming Women's 100 metres Butterfly,2nd
Andrea Pollack (-Pinske),F,15,166.0,61.0,East Germany,GDR,Swimming,Swimming Women's 200 metres Butterfly,1st
Burglinde Pollak (-Grimm),F,25,179.0,78.0,East Germany,GDR,Athletics,Athletics Women's Pentathlon,3rd
Uwe Potteck,M,21,177.0,78.0,East Germany,GDR,Shooting,"Shooting Mixed Free Pistol, 50 metres",1st
Petra Priemer (-Brinkmann),F,15,175.0,68.0,East Germany,GDR,Swimming,Swimming Women's 100 metres Freestyle,2nd
Hans-Georg Reimann,M,34,180.0,65.0,East Germany,GDR,Athletics,Athletics Men's 20 kilometres Walk,2nd
Ulrike Richter (-Schmidt),F,17,173.0,66.0,East Germany,GDR,Swimming,Swimming Women's 100 metres Backstroke,1st
Ulrike Richter (-Schmidt),F,17,173.0,66.0,East Germany,GDR,Swimming,Swimming Women's 200 metres Backstroke,1st
Johanna Schaller-Klier,F,23,176.0,70.0,East Germany,GDR,Athletics,Athletics Women's 100 metres Hurdles,1st
Christine Scheiblich (-Hahn),F,21,172.0,68.0,East Germany,GDR,Rowing,Rowing Women's Single Sculls,1st
Evelin Schlaak-Jahl (-Herberg),F,20,183.0,90.0,East Germany,GDR,Athletics,Athletics Women's Discus Throw,1st
Wolfgang Schmidt,M,22,199.0,115.0,East Germany,GDR,Athletics,Athletics Men's Discus Throw,2nd
Jochen Schmann,M,22,188.0,94.0,East Germany,GDR,Sailing,Sailing Mixed One Person Dinghy,1st
Siegrun Siegl (Thon-),F,21,174.0,60.0,East Germany,GDR,Athletics,Athletics Women's Pentathlon,1st
Renate Stecher (Meiner-),F,26,170.0,71.0,East Germany,GDR,Athletics,Athletics Women's 100 metres,2nd
Renate Stecher (Meiner-),F,26,170.0,71.0,East Germany,GDR,Athletics,Athletics Women's 200 metres,3rd
Ellen Strophal-Streidt (-Wendland-),F,23,168.0,55.0,East Germany,GDR,Athletics,Athletics Women's 400 metres,3rd
Ulrike Tauber (-Lebek),F,18,173.0,61.0,East Germany,GDR,Swimming,Swimming Women's 200 metres Butterfly,2nd
Ulrike Tauber (-Lebek),F,18,173.0,61.0,East Germany,GDR,Swimming,Swimming Women's 400 metres Individual Medley,1st
"Petra Thmer (-Deckert, -Katzur)",F,15,174.0,62.0,East Germany,GDR,Swimming,Swimming Women's 400 metres Freestyle,1st
"Petra Thmer (-Deckert, -Katzur)",F,15,174.0,62.0,East Germany,GDR,Swimming,Swimming Women's 800 metres Freestyle,1st
Birgit Treiber (-Beinroth),F,16,172.0,66.0,East Germany,GDR,Swimming,Swimming Women's 100 metres Backstroke,2nd
Birgit Treiber (-Beinroth),F,16,172.0,66.0,East Germany,GDR,Swimming,Swimming Women's 200 metres Backstroke,2nd
Angela Voigt (Schmalfeld-),F,25,171.0,63.0,East Germany,GDR,Athletics,Athletics Women's Long Jump,1st
Harald Vollmar,M,29,177.0,72.0,East Germany,GDR,Shooting,"Shooting Mixed Free Pistol, 50 metres",2nd
Frank Wartenberg,M,21,185.0,71.0,East Germany,GDR,Athletics,Athletics Men's Long Jump,3rd
Heinz-Helmut Wehling,M,25,165.0,62.0,East Germany,GDR,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",3rd
Peter Wenzel,M,24,168.0,78.0,East Germany,GDR,Weightlifting,Weightlifting Men's Middleweight,3rd
Jrgen Wiefel,M,24,173.0,84.0,East Germany,GDR,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",2nd
"Rosemarie ""Rosie"" Witschas-Ackermann",F,24,179.0,72.0,East Germany,GDR,Athletics,Athletics Women's High Jump,1st
Elfi Zinn (Rost-),F,22,165.0,55.0,East Germany,GDR,Athletics,Athletics Women's 800 metres,3rd
Carola Zirzow (-Drechsler),F,21,178.0,78.0,East Germany,GDR,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",1st
John Robert Albrechtson,M,39,181.0,67.0,Sweden,SWE,Sailing,Sailing Mixed Two Person Keelboat,1st
Rolf Erik Sren Edling,M,32,196.0,91.0,Sweden,SWE,Fencing,"Fencing Men's epee, Team",1st
Sven Anders Grderud,M,29,186.0,70.0,Sweden,SWE,Athletics,"Athletics Men's 3,000 metres Steeplechase",1st
Bernt Harry Johansson,M,23,176.0,71.0,Sweden,SWE,Cycling,"Cycling Men's Road Race, Individual",1st
Ulrika Margareta Knape (-Lindberg),F,21,173.0,60.0,Sweden,SWE,Diving,Diving Women's Platform,2nd
"Christopher Latham ""Chris"" Baillieu",M,26,190.0,85.0,Great Britain,GBR,Rowing,Rowing Men's Double Sculls,2nd
Ian A. Banbury,M,18,183.0,70.0,Great Britain,GBR,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",3rd
Brian Brinkley,M,22,190.0,79.0,Great Britain,GBR,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,3rd
Julian Brooke-Houghton,M,29,190.0,83.0,Great Britain,GBR,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,2nd
"Richard James Scott ""Jim"" Clark",M,26,190.0,89.0,Great Britain,GBR,Rowing,Rowing Men's Coxed Eights,2nd
"Patrick ""Pat"" Cowdell",M,22,143.0,54.0,Great Britain,GBR,Boxing,Boxing Men's Bantamweight,3rd
Brendan Foster,M,28,178.0,68.0,Great Britain,GBR,Athletics,"Athletics Men's 10,000 metres",3rd
"Jeremy Robert ""Jim"" Fox",M,34,188.0,83.0,Great Britain,GBR,Modern Pentathlon,Modern Pentathlon Men's Team,1st
John Osborn,M,30,180.0,69.0,Great Britain,GBR,Sailing,Sailing Mixed Multihull,1st
Keith J. Remfry,M,28,193.0,114.0,Great Britain,GBR,Judo,Judo Men's Open Class,2nd
David Collin Starbrook,M,30,185.0,89.0,Great Britain,GBR,Judo,Judo Men's Half-Heavyweight,3rd
David Andrew Wilkie,M,22,182.0,76.0,Great Britain,GBR,Swimming,Swimming Men's 100 metres Breaststroke,2nd
David Andrew Wilkie,M,22,182.0,76.0,Great Britain,GBR,Swimming,Swimming Men's 200 metres Breaststroke,1st
Zdzisaw Antczak,M,28,188.0,82.0,Poland,POL,Handball,Handball Men's Handball,3rd
Bronisaw Bebel,M,27,191.0,91.0,Poland,POL,Volleyball,Volleyball Men's Volleyball,1st
Jan Janusz Benigier,M,26,174.0,70.0,Poland,POL,Football,Football Men's Football,2nd
Leszek Bayski,M,27,165.0,50.0,Poland,POL,Boxing,Boxing Men's Flyweight,3rd
Kazimierz Czarnecki,M,28,165.0,67.0,Poland,POL,Weightlifting,Weightlifting Men's Lightweight,3rd
Grzegorz Cziura,M,24,157.0,55.5,Poland,POL,Weightlifting,Weightlifting Men's Bantamweight,2nd
Wiesaw Gawlikowski,M,25,172.0,65.0,Poland,POL,Shooting,Shooting Mixed Skeet,3rd
Janusz Kazimierz Gortat,M,28,186.0,81.0,Poland,POL,Boxing,Boxing Men's Light-Heavyweight,3rd
Jerzy Greszkiewicz,M,26,170.0,68.0,Poland,POL,Shooting,"Shooting Mixed Running Target, 50 metres",3rd
Andrzej Jerzy Gronowicz,M,25,176.0,75.0,Poland,POL,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",2nd
Zbigniew Jaremski,M,27,182.0,75.0,Poland,POL,Athletics,Athletics Men's 4 x 400 metres Relay,2nd
Leszek Marian Kosedowski,M,22,174.0,60.0,Poland,POL,Boxing,Boxing Men's Featherweight,3rd
Czesaw Kwieciski,M,33,179.0,88.0,Poland,POL,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",3rd
Kazimierz Lipie,M,27,164.0,62.0,Poland,POL,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1st
Bronisaw Malinowski,M,25,182.0,68.0,Poland,POL,Athletics,"Athletics Men's 3,000 metres Steeplechase",2nd
Tadeusz Mytnik,M,26,177.0,75.0,Poland,POL,Cycling,Cycling Men's 100 kilometres Team Time Trial,2nd
Mieczysaw Pawe Nowicki,M,25,176.0,74.0,Poland,POL,Cycling,"Cycling Men's Road Race, Individual",3rd
Janusz Gerard Pyciak-Peciak,M,27,171.0,68.0,Poland,POL,Modern Pentathlon,Modern Pentathlon Men's Individual,1st
Tadeusz Rutkowski,M,25,185.0,117.0,Poland,POL,Weightlifting,Weightlifting Men's Heavyweight,3rd
Jerzy Rybicki,M,23,179.0,70.0,Poland,POL,Boxing,Boxing Men's Light-Middleweight,1st
Andrzej Skrzydlewski,M,29,180.0,100.0,Poland,POL,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",3rd
Tadeusz lusarski,M,26,178.0,76.0,Poland,POL,Athletics,Athletics Men's Pole Vault,1st
Kazimierz Wiesaw Szczerba,M,22,177.0,63.0,Poland,POL,Boxing,Boxing Men's Light-Welterweight,3rd
Irena Szewiska-Kirszenstein,F,30,176.0,60.0,Poland,POL,Athletics,Athletics Women's 400 metres,1st
Marian Taaj,M,25,170.0,70.0,Poland,POL,Judo,Judo Men's Half-Middleweight,3rd
Jacek Roman Wszoa,M,19,195.0,75.0,Poland,POL,Athletics,Athletics Men's High Jump,1st
Paul Douglas Ackerley,M,27,179.0,68.0,New Zealand,NZL,Hockey,Hockey Men's Hockey,1st
Trevor Ivan Coker,M,26,192.0,87.0,New Zealand,NZL,Rowing,Rowing Men's Coxed Eights,3rd
"Theodorus Jacobus Leonardus ""Dick"" Quax",M,28,183.0,65.0,New Zealand,NZL,Athletics,"Athletics Men's 5,000 metres",2nd
John George Walker,M,24,183.0,74.0,New Zealand,NZL,Athletics,"Athletics Men's 1,500 metres",1st
Carlos Alberto de Sousa Lopes,M,29,167.0,55.0,Portugal,POR,Athletics,"Athletics Men's 10,000 metres",2nd
Armando da Silva Marques,M,39,162.0,66.0,Portugal,POR,Shooting,Shooting Mixed Trap,2nd
Pedro Jos Gamarro,M,21,178.0,67.0,Venezuela,VEN,Boxing,Boxing Men's Welterweight,2nd
Orlando Maldonado,M,17,158.0,47.0,Puerto Rico,PUR,Boxing,Boxing Men's Light-Flyweight,3rd
Ji Adam,M,25,187.0,83.0,Czechoslovakia,TCH,Modern Pentathlon,Modern Pentathlon Men's Team,2nd
Jan Brt,M,21,181.0,67.0,Czechoslovakia,TCH,Modern Pentathlon,Modern Pentathlon Men's Individual,3rd
Helena Fibingerov (-mdov),F,27,179.0,88.0,Czechoslovakia,TCH,Athletics,Athletics Women's Shot Put,3rd
Jaroslav Hellebrand,M,30,180.0,85.0,Czechoslovakia,TCH,Rowing,Rowing Men's Quadruple Sculls,3rd
Vtzslav Mcha,M,28,172.0,74.0,Czechoslovakia,TCH,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",2nd
Josef Panek,M,38,180.0,92.0,Czechoslovakia,TCH,Shooting,Shooting Mixed Skeet,1st
Oldich Svojanovsk,M,30,187.0,94.0,Czechoslovakia,TCH,Rowing,Rowing Men's Coxed Pairs,3rd
Anton Tk,M,25,183.0,81.0,Czechoslovakia,TCH,Cycling,Cycling Men's Sprint,1st
Hasely Joachim Crawford,M,25,187.0,90.0,Trinidad and Tobago,TTO,Athletics,Athletics Men's 100 metres,1st
"Donald O'Reilly ""Don"" Quarrie",M,25,175.0,70.0,Jamaica,JAM,Athletics,Athletics Men's 100 metres,2nd
"Donald O'Reilly ""Don"" Quarrie",M,25,175.0,70.0,Jamaica,JAM,Athletics,Athletics Men's 200 metres,1st
Zevegiin Oidov,M,25,168.0,62.0,Mongolia,MGL,Wrestling,"Wrestling Men's Featherweight, Freestyle",2nd
Rudolf Dollinger,M,32,183.0,74.0,Austria,AUT,Shooting,"Shooting Mixed Free Pistol, 50 metres",3rd
Baek Myeong-Seon,F,20,173.0,64.0,South Korea,KOR,Volleyball,Volleyball Women's Volleyball,3rd
Jang Eun-Gyeong,M,25,157.0,66.0,South Korea,KOR,Judo,Judo Men's Lightweight,2nd
Jeon Hae-Seop,M,24,160.0,52.0,South Korea,KOR,Wrestling,"Wrestling Men's Flyweight, Freestyle",3rd
Jo Jae-Gi,M,26,183.0,93.0,South Korea,KOR,Judo,Judo Men's Open Class,3rd
Park Yeong-Cheol,M,22,175.0,80.0,South Korea,KOR,Judo,Judo Men's Middleweight,3rd
Yang Jeong-Mo,M,23,165.0,62.0,South Korea,KOR,Wrestling,"Wrestling Men's Featherweight, Freestyle",1st
Payao Poontarat,M,18,165.0,48.0,Thailand,THA,Boxing,Boxing Men's Light-Flyweight,3rd
Clarence Hill,M,25,187.0,90.0,Bermuda,BER,Boxing,Boxing Men's Heavyweight,3rd
Kreimir osi,M,27,209.0,94.0,Yugoslavia,YUG,Basketball,Basketball Men's Basketball,2nd
"Ivan ""Ivica"" Frgi",M,23,166.0,57.0,Yugoslavia,YUG,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",2nd
Tadija Kaar,M,20,184.0,73.0,Yugoslavia,YUG,Boxing,Boxing Men's Light-Middleweight,2nd
Matija Ljubek,M,22,180.0,85.0,Yugoslavia,YUG,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",3rd
Matija Ljubek,M,22,180.0,85.0,Yugoslavia,YUG,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",1st
Slavko Obadov,M,28,180.0,80.0,Yugoslavia,YUG,Judo,Judo Men's Middleweight,3rd
Momir Petkovi,M,22,179.0,82.0,Yugoslavia,YUG,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",1st
Ace Rusevski,M,19,173.0,60.0,Yugoslavia,YUG,Boxing,Boxing Men's Lightweight,3rd
Gu Yong-Jo,M,21,172.0,57.0,North Korea,PRK,Boxing,Boxing Men's Bantamweight,1st
Li Byong-Uk,M,21,158.0,50.0,North Korea,PRK,Boxing,Boxing Men's Light-Flyweight,2nd
